Username,AVIATE_ONE_BLOCKS,ANIMALS_BRED,BELL_RING,BOAT_ONE_BLOCKS,CLEAN_ARMOR,CLEAN_BANNER,CLEAN_SHULKER_BOX,CLIMB_ONE_BLOCKS,CROUCH_ONE_BLOCKS,DAMAGE_ABSORBED,DAMAGE_BLOCKED_BY_SHIELD,DAMAGE_DEALT,DAMAGE_DEALT_ABSORBED,DAMAGE_DEALT_RESISTED,DAMAGE_RESISTED,DAMAGE_TAKEN,DEATHS,DROP,EAT_CAKE_SLICE,ENCHANT_ITEM,FALL_ONE_BLOCKS,FILL_CAULDRON,FISH_CAUGHT,FLY_ONE_BLOCKS,HAPPY_GHAST_ONE_BLOCKS,HORSE_ONE_BLOCKS,INSPECT_DISPENSER,INSPECT_DROPPER,INSPECT_HOPPER,INTERACT_WITH_ANVIL,INTERACT_WITH_BEACON,INTERACT_WITH_BLAST_FURNACE,INTERACT_WITH_BREWINGSTAND,INTERACT_WITH_CAMPFIRE,INTERACT_WITH_CARTOGRAPHY_TABLE,INTERACT_WITH_CRAFTING_TABLE,INTERACT_WITH_FURNACE,INTERACT_WITH_GRINDSTONE,INTERACT_WITH_LECTERN,INTERACT_WITH_LOOM,INTERACT_WITH_SMITHING_TABLE,INTERACT_WITH_SMOKER,INTERACT_WITH_STONECUTTER,JUMP,LEAVE_GAME,MINECART_ONE_BLOCKS,MOB_KILLS,NAUTILUS_ONE_BLOCKS,OPEN_BARREL,OPEN_CHEST,OPEN_ENDERCHEST,OPEN_SHULKER_BOX,PIG_ONE_BLOCKS,PLAY_NOTEBLOCK,PLAY_RECORD,PLAYER_KILLS,POT_FLOWER,RAID_TRIGGER,RAID_WIN,SLEEP_IN_BED,SNEAK_TIME,SPRINT_ONE_BLOCKS,STRIDER_ONE_BLOCKS,SWIM_ONE_BLOCKS,TALKED_TO_VILLAGER,TARGET_HIT,TIME_SINCE_DEATH,TIME_SINCE_REST,TOTAL_WORLD_TIME,TRADED_WITH_VILLAGER,TRIGGER_TRAPPED_CHEST,TUNE_NOTEBLOCK,USE_CAULDRON,WALK_ON_WATER_ONE_BLOCKS,WALK_ONE_BLOCKS,WALK_UNDER_WATER_ONE_BLOCKS
fuzzyeaglesXD,231408,67,20,69395,0,0,0,6396,3531,0,2925,247339,0,0,157,136452,313,2047,24,71,9960,5,24,35213,0,15616,4,0,52,75,23,91,1,130,8,1433,1530,35,30,0,2,20,2,76532,95,0,7828,0,2640,3580,740,4591,0,22,0,1,0,0,0,546,354922,370856,0,13468,248,0,0,219,20357783,203,18,17,8,14444,341116,13923
SauseOnToastt,1151942,33,41,10837,0,0,0,10943,34062,48,857,211121,0,0,192,98312,34,1464,0,0,50788,18,12,302101,219499,101631,30,12,210,26,13,44,0,0,0,1218,551,3,19,6,6,68,203,160303,339,75,5590,0,1407,11090,644,2999,275,133,1,11,24,0,1,77,797977,264091,0,19155,181,0,567776,11043,20255008,592,8,78,13,15309,341216,39494
Cream109,1503664,280,2,5643,0,0,16,7160,79116,1863,15219,1063948,0,0,9115,85043,0,3580,9,42,28722,15,166,181194,0,11957,261,9,75,89,25,407,1203,0,12,1392,1950,35,41,6,30,85,561,102059,185,126,11280,0,4560,10738,2018,12142,0,0,27,0,2,3,0,189,1340810,340269,0,40042,973,0,19262291,28586,19262601,3357,6,29,390,14991,384087,38377
CorvusCepheus,438081,117,0,141020,0,0,0,15816,26589,2,23890,186970,6,0,15394,50225,23,12040,1,0,22510,1,7,53669,219522,125,35,8,256,27,40,346,14,26,1,1344,1048,0,37,2,10,90,266,75583,194,6506,6636,104,638,6753,419,4399,133,0,4,2,9,1,1,375,1078991,443916,0,6371,252,0,1320829,36230,18979346,419,1,736,196,5240,291322,6647
The_Peachess,1022469,37,0,70723,0,0,0,12135,7361,79,2801,70049,0,0,29,114164,55,1920,4,143,40265,2,233,398676,0,70479,9,11,14,332,35,181,6,0,0,1451,989,78,63,10,36,0,140,169020,321,2114,1033,0,6172,9697,867,5345,0,40,1,1,24,0,0,154,337755,471546,0,213,3062,0,4148658,5030,18525842,1699,3,33,0,6522,414957,4542
beauganglezV2,782680,289,0,39743,0,0,0,2353,20431,101,3125,157763,0,0,3373,69222,27,4540,0,31,15779,0,24,84120,149913,2299,56,116,349,74,12,49,11,0,0,461,524,26,37,1,9,76,94,50847,117,33103,7820,0,1078,7697,100,2964,0,11,12,29,3,0,0,124,517863,170907,0,6197,254,0,500167,74976,18016546,213,14,118,73,4132,365434,14769
UwU_G,1377999,25,0,4827,0,0,0,16601,27795,148,165,54901,0,0,29426,79885,30,1410,0,112,39470,3,517,212789,0,3024,26,99,310,50,37,0,15,0,0,578,229,77,59,0,19,0,262,99745,64,306,3001,0,1435,6107,314,9379,0,3,9,0,1,0,0,215,619444,263357,0,4008,14,0,265585,98409,17897023,2,0,75,9,11264,334527,14997
N3bulaXP,728213,76,2,19037,0,0,0,5368,68196,226,6440,183187,158,0,10225,73189,26,1693,12,85,70594,5,236,302880,110184,4004,115,165,157,94,32,42,2,0,0,738,439,55,71,8,31,56,97,130054,203,1163,4680,2439,2035,6709,1042,5070,0,5,134,17,30,0,0,50,1186729,239253,0,3987,23,0,115659,1977,15911792,28,5,1633,0,5807,309832,5971
CeruleanStar881,113449,118,2,76460,0,0,0,7240,9749,337,83436,202869,3,0,435,43288,17,2998,0,124,27269,3,1183,168185,144127,0,14,49,13,242,0,282,19,0,3,1084,3400,37,247,0,17,61,55,98546,108,4044,11219,0,5250,6611,1105,5078,0,0,2,5,16,0,1,132,487947,161986,0,6101,61,0,560020,6248,15842268,1,3,2,160,7799,330420,16305
PhantaPurple,1459642,8,17,139516,0,0,0,1568,65931,3490,79282,1190862,2041,0,12382,168402,18,9215,1,130,112052,2,104,470987,230892,394639,105,21,370,204,22,12,553,0,4,927,701,97,44,18,46,6,370,213592,131,0,10771,0,2177,8507,2350,7490,1635,200,10,45,21,1,1,191,1115153,348858,17441,31588,2049,0,190452,5965,15637936,12808,16,472,0,10676,314351,12405
PronaldTheFirst,1894633,159,96,264637,0,0,0,2036,98688,3535,602,1079533,152,0,5204,150251,9,3318,0,258,68940,1,82,275823,924,2491,117,59,639,415,71,217,445,0,0,967,416,248,30,5,31,1,34,174208,210,1681,23731,0,8808,3552,1902,17144,0,31,15,0,2,17,15,116,1497728,227322,0,42308,2674,0,7635027,10218,15499113,12423,0,25,0,9956,317470,41513
puppyswagg,343395,86,37,59981,0,0,0,5539,13174,80,304,125514,0,0,1510,100200,50,1000,10,0,42760,7,122,253406,25014,9083,55,40,6,48,13,5,3,11,3,637,284,1,111,12,7,19,176,126892,105,90,1602,1406,2219,7975,141,1869,129,640,28,6,95,0,0,80,288809,267388,0,16919,69,0,1970241,19204,15428216,15,5,158,0,3639,503625,7650
badkarma38600,302782,20,2,94056,0,0,0,3491,5764,88,7130,101102,104,20,3212,76828,105,2329,4,31,36028,0,322,352285,0,44,6,0,8,33,0,4,35,0,1,403,104,10,32,8,13,14,51,129890,111,380,10121,0,1422,3196,25,1528,361,5,2,31,7,0,0,196,241546,269277,0,4912,37,0,1126421,4007,14188133,128,2,107,0,8715,218149,8165
MessedUpLogic,230430,666,28,160576,0,0,0,2986,13066,54,196,297661,42,0,4836,55870,20,1232,0,6,37191,12,253,332416,0,1915,49,3,115,102,0,27,208,563,2,849,543,8,281,0,16,5,39,138737,133,20749,3612,0,4611,4511,1351,4767,1455483,0,8,12,4,0,0,126,329750,180486,0,8532,178,0,175286,1811,14170772,1159,5,90,25,7202,252893,8921
HammerS1ap,1195457,3,15,21408,0,0,0,981,21635,3544,16294,127100,663,0,14090,162186,141,3182,4,0,30132,3,69,173216,170224,18675,8,23,319,60,26,32,89,0,0,538,647,1,134,2,24,85,47,76555,181,440,2548,693,1632,4738,742,2710,517896,2,42,9,0,1,1,100,583046,157038,0,8441,33,9,770043,180267,14054443,1,0,115,5,5052,261743,11411
bbunnyboy,365951,169,1,3217,0,0,0,2350,12010,103,3394,121445,0,0,164,43006,42,905,11,23,10778,5,0,33914,36666,47834,138,0,262,17,2,17,4,0,2,775,479,15,17,0,2,34,9,43603,123,0,999,0,4026,5278,509,2722,0,21,0,1,20,0,0,217,291556,198419,0,14670,530,0,4110825,274795,13992476,1390,2,174,258,10525,326440,22381
greencouchpres,14,620,54,70972,0,8,0,2941,3266,0,1140,48554,0,0,167,22440,14,780,0,38,10780,4,634,50794,0,124424,0,1,0,36,0,1,1,0,8,588,476,27,40,13,3,1,23,47126,35,0,8270,2087,2419,984,16,910,0,0,0,0,0,0,0,176,134022,147677,0,4296,113,0,1467318,52860,13881438,46,5,34,1,10675,255975,5230
minoslay,529197,19,1,9178,0,0,0,3779,14413,40,210,453124,0,0,2693,97518,59,1250,0,0,25354,0,119,154040,35096,403,9,44,64,72,20,0,8,0,0,604,637,0,275,4,20,3,112,106177,201,3859,4652,0,1984,5093,325,1933,0,0,8,3,10,0,0,107,538700,152702,0,11321,169,0,400605,99246,13760096,654,44,90,147,9724,362626,9458
Snorkle,324713,37,41,37315,0,0,0,3961,11770,726,0,62277,886,0,1175,29209,17,430,0,0,14776,0,294,115537,1017,669,34,98,231,59,2,2,0,0,2,248,375,1,28,0,1,3,19,57311,80,0,5662,0,2138,2642,850,3114,0,0,56,24,7,0,0,170,415521,115275,0,19938,34,0,3761146,12404,13453194,0,4,193,0,2736,100701,8168
Grimm_2189,1002020,2243,0,9608,0,0,0,3194,21212,107,23480,318920,0,0,629,40135,6,908,12,7,24880,22,41,214018,9775,23459,9,92,907,67,13,186,132,0,5,675,272,0,50,1,17,132,12,121453,121,241,7341,0,2094,5692,1619,7467,0,0,0,0,30,0,0,177,470689,197720,0,139679,216,0,695343,13791,13028435,1177,5,6,16,31459,264370,84124
MidlifeChrises,1095369,279,78,44512,0,0,0,2987,109921,1440,1760,198510,673,9,67378,174538,14,2007,0,1,117620,4,594,173620,81687,31721,736,160,2043,48,54,0,1,0,0,831,658,0,30,0,16,0,35,98822,140,66357,7924,0,2037,6020,1245,10501,0,21,22,8,2,0,0,17,1051687,218019,0,9981,2,53,147031,3902,12727453,0,2,61,0,10124,193867,11789
Chickity_China93,462403,0,0,16990,0,0,0,25517,14320,74,11230,125621,0,0,0,95545,82,1389,0,5,19427,0,0,71371,0,84871,1,0,2,54,29,554,0,1,1,528,964,31,7,0,6,68,2,65830,180,247,975,0,867,2839,451,1589,0,0,4,0,0,0,0,106,498888,208331,0,10554,36,0,231962,8092,12209925,0,1,4,0,5778,191555,7157
tarob4by,327916,190,60,21814,0,0,0,3917,30641,151,0,135446,5,0,1470,52343,12,1463,7,0,36052,4,387,328222,35638,4486,3,33,76,94,8,190,52,0,13,1202,560,10,18,20,33,76,21,154183,79,1445,1916,0,2341,4773,691,2944,0,0,34,1,51,0,0,53,626108,254384,0,5731,22,1,642413,38944,12189267,0,30,363,0,11867,353940,9559
Syndrops,639219,40,0,26164,0,0,0,1255,16160,0,29872,105828,0,0,105,35443,9,830,0,68,8438,0,485,53682,2395284,51,4,0,13,41,0,15,11,0,4,525,741,43,32,5,27,1,114,49528,78,0,724,0,1318,4185,561,4639,0,0,1,0,4,0,0,410,500633,59578,0,5317,19,0,3151539,1340,11957717,5,0,2,0,3508,307872,3635
wtblair,693866,6,0,89246,0,0,0,3135,34045,0,3850,263097,0,0,1751,39600,10,597,0,0,19479,1,0,180631,3440,29004,34,9,154,73,12,75,18,0,0,833,266,0,45,0,7,25,360,87810,135,893,3116,0,4358,4910,572,3709,0,0,0,0,56,0,0,180,581204,225074,0,6783,438,0,4553419,8868,11698683,1891,4,25,0,6472,309003,9519
DraugaDrottinXx,0,547,171,64797,0,0,0,7714,6758,0,38308,320813,0,0,61,48854,55,2761,11,333,23937,3,0,138772,0,2348,70,0,150,120,1,24,721,0,0,414,361,46,5,0,0,11,13,82031,97,14520,9553,0,117,5753,36,615,0,0,20,2,0,0,0,105,248679,156942,0,21511,178,4,276499,14671,11637950,288,0,6,67,5403,294555,31568
schnaaa,1001984,0,185,14584,0,0,0,3338,33015,0,4234,144122,0,101,5482,107660,74,1701,6,0,40511,2,1,290268,342074,20,0,1,6,27,23,0,0,0,0,543,1033,2,99,0,2,0,124,119581,201,0,888,0,768,1253,106,6146,0,0,40,7,0,0,0,232,660581,137238,0,3541,4,0,43657,20105,11588376,4,5,2,0,5868,392585,18255
JustSofia19,450781,649,29,27892,0,0,0,6556,3823,8,5819,221684,0,0,113,22773,6,834,1,31,7503,5,237,89548,0,3353,26,0,142,48,32,37,134,71,5,739,1267,2,39,9,13,2,60,54398,101,124,3006,0,2496,8091,472,595,0,0,3,0,3,0,0,147,153239,213592,0,8793,103,0,6850017,11252,11558436,280,8,3,90,8778,248116,18368
ItsFernux,910992,102,232,44236,0,0,0,3443,10762,239,28232,926362,275,0,639,82333,15,3579,1,53,14732,0,0,107157,329257,3,34,206,1116,136,18,0,93,0,0,656,726,39,21,0,19,14,59,56380,68,0,52800,0,1076,6574,763,2553,0,11,3,0,3,4,2,62,283460,116587,0,9371,1081,0,2246806,3775,10581978,1046,1,40,0,2338,104479,4415
Emzio,121559,304,3,35409,0,0,0,3716,1770,171,20898,86981,0,0,207,36590,23,501,0,84,9474,2,192,69204,158518,2756,0,13,311,87,9,67,61,3,0,557,179,27,27,0,1,135,52,39854,107,0,12507,0,993,2569,459,1292,0,17,2,1,21,1,1,199,91940,157826,0,4404,68,0,1345190,3090,10383958,60,5,9,9,2318,180010,8341
DesertLapis,1314368,0,14,19904,0,0,0,1303,2639,0,19871,185543,0,0,461,45024,18,5851,3,18,29974,0,53,222704,0,216,28,0,19,70,13,2,172,0,0,605,338,16,33,23,41,1,18,111923,168,11,1890,0,1171,1936,231,1719,0,0,4,0,1,0,0,274,82727,239696,0,9192,183,0,3075234,15182,10092916,65,1,234,0,4368,280925,6477
DrXenovia,405669,90,0,43226,0,0,0,6153,37821,80,450,5871886,0,0,4450,65622,8,2940,0,44,16721,3,3,100453,79313,5,39,35,2295,73,20,0,63,0,0,837,270,24,39,0,24,0,2,65734,102,90,196645,0,1445,5009,1177,3573,0,0,6,0,0,0,0,38,674627,87366,0,4792,12,0,2705272,123747,9695481,0,1,6,1,5843,180305,3386
Haktaru,116666,242,5,29130,0,0,0,11911,36022,0,38104,186942,160,0,166,41389,14,549,0,20,19685,23,3,112406,351888,41,381,80,484,118,16,0,225,16,6,779,527,15,59,0,10,19,160,72795,68,3829,9799,6,1230,8867,912,4157,0,3,5,1,44,0,0,396,1082740,208652,41489,14221,19,0,107158,34957,9303608,18,6,67,35,12274,241502,40973
Jomzta,533095,0,171,63329,0,0,0,1158,10356,221,1790,138493,0,0,908,49878,2,2248,0,44,24257,0,0,85704,0,60,14,18,111,66,1,46,0,0,0,421,117,0,46,4,10,2,1,60187,125,0,878,0,1308,851,1176,1831,27344,1029,5,0,0,1,1,35,189480,95151,0,3881,343,0,343327,13783,9131433,447,1,704,0,5766,185952,5951
Villskap,114034,0,3,94723,0,0,0,2294,1214,0,23420,157134,0,0,120,14290,2,1131,0,304,3413,0,247,15131,0,1,0,2,35,99,0,37,20,0,0,323,217,122,80,0,1,0,103,19730,118,0,24283,0,1631,4075,98,2517,0,49,15,0,23,0,0,249,74225,130445,0,15081,0,0,7206115,12048,8983007,0,6,142,0,3457,269679,12430
Pickulfff,349464,150,10,40257,0,0,0,7073,10126,42,2160,79395,0,0,2473,71111,49,785,0,33,27223,4,0,181717,929,45,8,29,5,16,5,7,1,0,0,397,67,14,26,0,1,9,60,86821,87,2435,2084,0,554,3260,120,1418,0,0,0,2,26,0,0,18,272842,167602,0,2442,12,26,90622,77313,8881281,29,3,5,8,2537,197603,2263
skamlogs,895806,428,11,32352,0,0,0,1009,5732,102,8816,396994,0,0,11254,158354,95,5385,7,18,30405,6,0,224364,0,374,2,5,23,179,36,11,25,0,2,811,631,21,85,1,82,3,20,107309,140,3430,3622,0,1242,6680,449,1965,0,1,19,10,5,0,0,58,169328,165680,0,8052,38,0,49985,3113,8566507,15,41,269,8,3831,234635,3928
Beardmead,375025,113,0,41879,0,0,0,7209,5414,635,20300,341283,0,0,299,70636,77,1779,0,82,11823,10,9,77951,0,0,108,2,29,62,1,0,33,0,0,1064,1533,1,16,0,6,0,0,54115,86,0,12648,0,430,2657,811,2876,0,2,0,0,20,0,0,120,157410,69130,0,2254,339,0,326203,13181,8541262,647,0,8,15,4235,262207,4377
Sivullinen,76361,103,0,18184,0,0,0,11288,1782,0,0,357348,0,0,9,38502,3,558,0,25,6967,0,88,9137,0,124698,88,56,492,64,2,0,1,0,1,507,546,65,6,0,4,0,4,47928,51,3,3239,0,176,5641,340,3002,0,0,0,0,0,0,0,63,77507,38208,0,26745,2711,0,7027274,126,8423645,7011,0,0,247,15090,393186,12938
GeirtheTyphoon,469677,0,24,261651,0,0,0,19206,3089,0,12446,251511,0,0,226,35124,13,897,0,55,19082,0,232,169668,0,83809,52,1,9,58,8,5,75,0,1,418,508,58,45,1,13,1,13,75969,63,0,4350,0,4579,1555,629,303,0,0,100,0,2,0,0,92,126851,132663,0,13046,590,1,3167951,22173,8420758,1090,1,0,0,5917,85731,7103
Xalithia,405229,139,0,76087,0,0,0,3439,6010,35,960,147129,175,0,663,23367,2,1088,2,1,33005,0,8,207094,160860,16847,92,40,34,40,12,2,5,0,0,393,278,0,20,9,0,59,5,105840,87,121,1129,0,837,3548,720,3548,0,2,1,1,0,0,0,45,167542,218526,0,44795,545,0,182154,30857,8360482,1049,12,54,0,10549,103973,34939
YamiiTM,345767,0,0,82016,0,0,0,2430,34919,0,1206,150312,0,0,345,17820,0,1588,0,0,13385,0,167,90607,5737,2316,3,11,99,38,26,15,1,0,0,443,406,2,9,0,14,0,106,47720,78,1517,762,0,505,2165,411,3811,0,0,4,0,1,0,0,85,528904,136194,0,12958,12,0,8345433,654,8345433,0,0,0,0,4788,119224,5608
Airiel4262,653855,2,336,15127,0,0,0,3808,6710,0,51726,237340,0,0,2776,55692,38,673,0,10,19995,5,0,164206,5599,4905,1,0,70,96,16,149,30,10,0,206,1152,52,21,1,3,182,5,77416,118,91,6229,495,447,5103,245,733,0,0,0,5,0,0,0,12,153879,276199,0,26034,202,1,83346,48968,8342504,141,0,0,74,4057,195084,21518
Arrowspate,454502,5,3,8583,0,0,0,9440,20544,0,11984,211427,0,0,3369,55515,23,827,0,11,19142,0,83,98293,108151,0,22,0,268,67,12,11,4,0,0,421,280,5,22,14,12,7,12,68218,68,1,6799,0,482,3715,800,1565,0,0,0,0,0,0,0,118,299303,110706,0,5928,438,0,937962,13764,7786624,666,0,2,0,3659,154682,2209
spikeaz,376389,76,1,34338,0,0,0,3750,6964,0,3520,200078,0,0,711,18057,3,1867,0,2,10386,0,107,91950,226109,0,1,5,61,48,0,132,4,0,6,211,402,6,198,3,13,65,9,45313,97,2103,5506,0,1876,3356,452,1839,0,1,0,1,3,0,1,51,233087,197800,0,18015,8,0,7106473,2101,7465779,0,0,14,10,5846,120529,19311
CatWhiskers49623,265760,65,0,9038,0,0,0,1779,10212,40,34940,168207,0,0,2346,97154,106,587,3,22,20502,0,318,143793,108,128,3,21,55,87,23,0,0,46,1,583,707,14,24,0,17,0,0,74602,77,0,1626,0,1262,3162,183,3932,0,0,0,0,0,0,0,75,394620,113374,0,4165,70,0,278783,26448,7438201,461,3,3,0,6768,206206,3382
rat_kao,28061,1312,0,23121,0,0,0,4936,2360,0,25350,117371,0,0,105,33028,13,1534,41,88,10134,0,289,88950,0,84,0,2,1,103,9,1,1,442,2,530,1330,33,93,0,8,0,13,55937,63,64,2042,0,1541,6394,437,867,0,0,2,0,51,0,0,160,115607,64762,0,10683,42,0,597559,44654,7355723,11,6,1,0,4772,195258,3339
s4ubaru,499995,1,0,17418,0,0,0,818,5482,161,18292,354039,0,0,486,40093,9,1719,0,2,13049,1,114,54591,4805,10034,7,3,3,95,1,140,46,11,0,376,126,0,30,0,14,67,0,42576,80,0,6356,0,736,2043,638,788,0,0,10,0,11,1,1,103,182406,140112,0,6515,35,0,1392332,8238,7222458,52,1,8,0,3660,127439,6222
mleeum,653684,6,1,2639,0,0,0,2435,4108,125,400,193258,0,0,1525,63168,40,940,0,26,14103,5,6,71599,6201,112,2,47,18,58,27,9,0,0,0,363,448,11,145,1,12,19,109,49439,109,5189,1217,0,1671,1693,381,3491,2460163,502,86,1,1,0,0,70,180487,135723,0,1581,50,0,1840657,23449,7159113,31,8,662,3,2889,166718,3599
NoLifeStudiosYT,718763,1,17,24444,0,0,0,979,15072,122,3736,93972,0,0,293,71561,38,347,2,6,29448,0,7,146789,0,1404,37,34,84,42,6,1,0,0,11,467,357,7,13,1,9,1,40,91952,121,220,1142,0,4590,4543,720,4511,0,0,6,3,4,0,0,7,270836,88717,0,16520,556,0,7190,7217,7064033,274,5,6,0,15063,111095,23698
BobThyBox,469246,72,1,34663,0,0,0,3754,6378,278,10552,231897,120,0,847,3118832,46,3087,0,1,324038,3,11,161184,0,99,31,3,45,196,12,69,1,2,8,562,459,4,273,0,46,24,2,82455,83,85,1564,0,1451,3161,330,1585,0,45,4,4,0,0,0,82,226949,162259,0,23073,83,0,219060,54915,7032379,8,6,44,1,7020,150605,13361
SnowSah,1266841,14,8,18976,0,14,0,2303,15909,410,7444,121799,21,0,897,67007,21,1013,0,47,14039,11,96,137397,1078,4052,68,3,115,106,26,1,9,0,0,570,365,52,35,9,11,6,6,63995,185,124,7914,0,2204,1596,2234,4485,0,0,0,0,0,0,0,119,385227,264212,0,3073,638,0,515904,8587,7016250,1880,3,4,1,4879,173016,4524
MagicSchoolBurs,354450,0,11,67981,0,0,0,4255,33205,0,3926,101706,0,0,33,55041,14,637,0,2,37585,0,0,115970,1214615,0,1,0,0,50,18,0,0,0,1,341,112,2,25,0,9,0,0,80256,75,0,1153,0,751,715,188,1726,0,0,0,0,0,0,0,221,613499,97130,0,3769,204,0,6459501,3036,6987884,4,0,0,1,2572,93918,5656
fi5hgirl,635011,1,0,8921,0,0,0,216,26562,165,4700,148965,0,0,1856,50247,6,1267,0,90,9519,0,0,48097,925864,0,4,2,37,40,3,8,2,0,0,189,214,79,48,3,10,0,0,32283,49,0,16921,0,746,2183,768,1567,0,0,7,0,0,0,0,78,666005,100479,0,3939,1,0,1063963,56151,6828779,0,6,6,0,2215,133463,11658
JumpoRah,301897,53,1,13830,0,0,0,388,18249,0,12786,86290,0,0,0,33125,6,340,0,37,17939,1,0,134536,0,129171,0,0,8,17,7,2,31,0,0,421,261,27,10,0,10,2,10,67010,70,0,3341,0,1513,2203,306,2157,0,0,0,0,0,0,0,21,467563,87624,0,4449,1329,0,2978268,4313,6753701,8639,0,0,0,2120,120891,1529
Shy_Warrior2034,156399,6,3,26511,0,0,0,5706,11896,0,7358,109806,0,0,140,33465,22,420,0,1,7515,0,0,67005,2948,10,0,1,88,86,17,0,0,0,0,224,171,0,2,0,0,0,54,33647,81,3030,9520,0,289,2921,343,668,0,0,0,0,0,0,0,19,351799,91120,0,31796,0,0,186193,32152,6697576,0,9,4,0,7274,114796,14489
Jfox91328,248539,245,56,21217,0,0,0,3407,3854,0,1110,143468,0,0,16,37049,31,1033,0,0,8651,0,0,66604,6057,30,393,89,1036,11,14,42,2,24,0,498,628,2,23,0,30,11,0,41135,64,81,840,0,535,1551,244,2041,0,22,0,0,0,0,0,48,134228,66977,0,2042,62,0,1489518,1359,6695443,0,1,38,0,2972,137575,2729
Kori_Infernalis,485858,1,4,22254,0,0,0,1211,19728,0,75,39959,0,0,0,22888,23,910,0,28,11933,1,1,161927,0,3842,0,0,114,33,13,0,0,0,0,368,332,23,8,0,5,1,26,65722,145,0,1376,0,1369,2093,81,2369,0,0,14,0,0,0,0,277,264577,138102,0,2931,62,0,350319,8762,6639312,0,0,3,1,1790,166748,1703
RyanG2606,687461,0,0,2745,0,0,0,586,11437,0,0,71020,0,0,163,24019,6,720,0,0,6655,2,0,49175,0,4133,4,0,8,43,0,0,1,0,0,317,468,0,22,0,28,0,44,25453,162,62,3576,0,1783,1989,515,2773,0,0,0,0,0,0,0,30,707527,98795,0,1158,230,0,1390264,30015,6143422,19,2,7,0,1072,82741,2624
ZPlusBlake,181629,120,37,16011,0,0,0,1715,2847,0,2325,145933,0,0,64,31805,17,692,0,9,4583,0,0,9609,16207,7269,3,1,55,19,0,73,1,0,2,183,116,5,7,0,2,2,22,18936,85,0,3508,0,765,836,226,922,0,4,7,1,0,1,1,79,219181,175067,0,4527,48,0,17610,959,5861969,0,0,7,0,5001,155580,2595
PingPongBoi5731,0,127,0,52485,0,0,0,4259,7512,0,45178,113234,0,0,20,24712,9,201,0,34,15824,5,22,112157,0,0,2,0,4,1,0,280,1,0,0,593,639,45,9,0,0,103,66,60219,118,0,785,0,355,2193,38,12,0,0,12,0,0,0,0,92,248593,147135,0,4013,12,0,503451,16145,5748866,4,0,0,457,4738,194840,6071
TheTrashRat7528,481615,0,1,12880,0,0,0,2235,24253,0,37460,146705,0,0,798,55471,34,950,3,21,16054,1,519,106008,15247,412,6,77,3,124,15,0,5,0,0,192,184,6,19,0,7,1,2,62475,46,0,1339,328,1676,1552,256,3678,0,0,7,3,0,0,0,40,411366,92037,0,8373,3,0,1689890,26920,5606521,0,1,25,0,6155,163509,6887
MouthBreather,81,5,108,30226,0,0,0,565,1577,0,518,100647,73,0,1935,22077,34,572,5,78,9244,0,148,48732,0,41114,11,1,17,24,0,0,0,0,0,198,302,29,1,1,2,4,60,28032,38,0,5933,0,149,2395,86,54,0,5,15,12,77,0,0,13,67850,27903,0,825,16,0,69284,484,5256296,12,2,0,0,1149,79900,2227
PuppygirlSephie,0,236,2,16218,0,0,0,1779,4924,0,19200,66769,0,0,331,16707,10,221,0,0,21668,0,20,235398,0,1542,0,0,7,14,0,0,0,0,1,331,319,5,9,10,0,0,8,92136,36,488,636,0,80,1698,4,86,0,0,0,0,0,0,0,145,200305,88167,0,5413,5,0,1481732,15454,5227234,0,0,0,0,2270,154299,4327
GoblinGumbo,80673,21,46,24378,0,0,0,6856,7543,78,0,45308,0,0,37,15836,6,421,0,13,6018,0,32,88950,0,23171,3,4,27,28,0,2,16,0,0,249,298,0,6,0,0,1,0,44809,56,0,606,0,882,2871,78,2313,0,0,0,0,0,0,0,339,328147,104200,0,3109,800,0,97468,8801,5165322,1121,2,0,0,3236,147933,1949
Valdaya,212049,13,11,3932,0,0,0,553,486,0,7108,37078,0,0,343,14674,19,190,1,12,1585,0,175,1236,0,3,2,0,20,62,9,43,0,0,1,127,101,3,19,0,16,18,3,11925,45,0,818,0,825,1553,450,1869,0,0,0,0,0,0,0,88,26391,5936,0,24,121,0,403254,20613,5054863,130,1,0,0,5186,223994,3704
Phoenix24k,70131,55,2,61768,0,0,0,1578,8111,0,27136,332125,0,0,68,16436,9,820,0,57,14483,0,74,96429,0,25582,0,3,27,45,1,95,29,38,0,368,382,29,18,0,0,0,62,49204,36,2,3270,0,1463,2155,175,207,0,0,0,10,6,0,0,114,187188,53674,0,4260,231,0,78211,12672,5029436,331,0,2,0,4709,100761,3427
spartan2744,228418,0,0,9825,0,0,0,2989,6019,0,0,80833,0,0,1642,29651,16,1233,0,1,8674,0,140,42050,6875,0,3,3,9,32,12,0,0,0,0,157,263,1,19,0,8,0,39,29187,32,0,635,0,371,1334,96,442,0,0,14,3,0,1,1,96,224946,53299,0,1621,3,0,572952,1374,4939515,0,2,0,0,1068,160342,1743
MandyBias,142879,165,3,26616,0,0,0,549,21458,0,1388,145013,0,0,16,40218,47,809,0,187,9961,0,39,70338,0,0,14,41,458,52,12,6,0,75,1,416,386,42,19,0,1,1,17,40861,72,0,9692,0,503,5921,90,448,0,0,0,0,0,0,0,55,537372,61032,0,9225,20,0,440582,4260,4858809,0,0,0,0,8509,146293,8642
